datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
2024-01-01 00:00:00,-1513.0,-835.0,2235.0,0,2636.0,2214.2,1447,-975.33,1192.74,1021.0,0,2658.79,1809.0,1821.0
2024-01-01 00:15:00,-1513.0,-835.0,2235.0,0,2636.0,2214.2,1447,-975.33,1192.74,1021.0,0,2658.79,1809.0,1821.0
2024-01-01 00:30:00,-1513.0,-835.0,2235.0,0,2636.0,2214.2,1447,-975.33,1192.74,1021.0,0,2658.79,1809.0,1821.0
2024-01-01 00:45:00,-1513.0,-835.0,2235.0,0,2636.0,2214.2,1447,-975.33,1192.74,1021.0,0,2658.79,1809.0,1821.0
2024-01-01 01:00:00,-1488.25,-90.2,2102.0,0,2636.0,2280.1,1431,-892.9,1409.74,1282.0,0,2502.66,1846.0,1457.0
2024-01-01 01:15:00,-1488.25,-90.2,2102.0,0,2636.0,2280.1,1431,-892.9,1409.74,1282.0,0,2502.66,1846.0,1457.0
2024-01-01 01:30:00,-1488.25,-90.2,2102.0,0,2636.0,2280.1,1431,-892.9,1409.74,1282.0,0,2502.66,1846.0,1457.0
2024-01-01 01:45:00,-1488.25,-90.2,2102.0,0,2636.0,2280.1,1431,-892.9,1409.74,1282.0,0,2502.66,1846.0,1457.0
2024-01-01 02:00:00,-1926.0,-732.0,2495.0,0,2636.0,2141.8,1878,-1508.3,1081.33,1282.0,0,2547.92,1846.0,1456.0
2024-01-01 02:15:00,-1926.0,-732.0,2495.0,0,2636.0,2141.8,1878,-1508.3,1081.33,1282.0,0,2547.92,1846.0,1456.0
2024-01-01 02:30:00,-1926.0,-732.0,2495.0,0,2636.0,2141.8,1878,-1508.3,1081.33,1282.0,0,2547.92,1846.0,1456.0
2024-01-01 02:45:00,-1926.0,-732.0,2495.0,0,2636.0,2141.8,1878,-1508.3,1081.33,1282.0,0,2547.92,1846.0,1456.0
2024-01-01 03:00:00,-2324.15,-1214.0,2438.0,0,2636.0,1980.0,1023,-2128.48,730.56,1282.0,0,2325.39,1846.0,1457.0
2024-01-01 03:15:00,-2324.15,-1214.0,2438.0,0,2636.0,1980.0,1023,-2128.48,730.56,1282.0,0,2325.39,1846.0,1457.0
2024-01-01 03:30:00,-2324.15,-1214.0,2438.0,0,2636.0,1980.0,1023,-2128.48,730.56,1282.0,0,2325.39,1846.0,1457.0
2024-01-01 03:45:00,-2324.15,-1214.0,2438.0,0,2636.0,1980.0,1023,-2128.48,730.56,1282.0,0,2325.39,1846.0,1457.0
2024-01-01 04:00:00,-1719.95,-1899.8,2380.0,0,2590.0,1873.7,1394,-2244.73,512.88,1282.0,0,2529.63,1846.0,1453.0
2024-01-01 04:15:00,-1719.95,-1899.8,2380.0,0,2590.0,1873.7,1394,-2244.73,512.88,1282.0,0,2529.63,1846.0,1453.0
2024-01-01 04:30:00,-1719.95,-1899.8,2380.0,0,2590.0,1873.7,1394,-2244.73,512.88,1282.0,0,2529.63,1846.0,1453.0
2024-01-01 04:45:00,-1719.95,-1899.8,2380.0,0,2590.0,1873.7,1394,-2244.73,512.88,1282.0,0,2529.63,1846.0,1453.0
2024-01-01 05:00:00,-1469.15,-2899.65,2380.0,0,2590.0,1994.4,1224,-2188.36,400.64,1282.0,0,2519.56,1846.0,1432.0
2024-01-01 05:15:00,-1469.15,-2899.65,2380.0,0,2590.0,1994.4,1224,-2188.36,400.64,1282.0,0,2519.56,1846.0,1432.0
