datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/05/2024 00:00,3591.75,380,2200,0,-2115.8,2384.9,3028,3552.65,2006.71,998.25,0,-1997.6,1094.5,3066.5
01/05/2024 00:15,3591.75,380,2200,0,-2115.8,2384.9,3028,3552.65,2006.71,998.25,0,-1997.6,1094.5,3066.5
01/05/2024 00:30,3591.75,380,2200,0,-2115.8,2384.9,3028,3552.65,2006.71,998.25,0,-1997.6,1094.5,3066.5
01/05/2024 00:45,3591.75,380,2200,0,-2115.8,2384.9,3028,3552.65,2006.71,998.25,0,-1997.6,1094.5,3066.5
01/05/2024 01:00,3491,385,2200,0,-1721.2,2384.9,3028,3414.62,1875.78,973.25,0,-1826.84,1146.75,3067.25
01/05/2024 01:15,3491,385,2200,0,-1721.2,2384.9,3028,3414.62,1875.78,973.25,0,-1826.84,1146.75,3067.25
01/05/2024 01:30,3491,385,2200,0,-1721.2,2384.9,3028,3414.62,1875.78,973.25,0,-1826.84,1146.75,3067.25
01/05/2024 01:45,3491,385,2200,0,-1721.2,2384.9,3028,3414.62,1875.78,973.25,0,-1826.84,1146.75,3067.25
01/05/2024 02:00,3277,469,2200,0,-1915.3,2384.9,3028,3210.63,1883.91,941,0,-1946.23,1239,3065.75
01/05/2024 02:15,3277,469,2200,0,-1915.3,2384.9,3028,3210.63,1883.91,941,0,-1946.23,1239,3065.75
01/05/2024 02:30,3277,469,2200,0,-1915.3,2384.9,3028,3210.63,1883.91,941,0,-1946.23,1239,3065.75
01/05/2024 02:45,3277,469,2200,0,-1915.3,2384.9,3028,3210.63,1883.91,941,0,-1946.23,1239,3065.75
01/05/2024 03:00,3297.05,450,2200,0,-786.3,2384.9,3028,3417.7,1792.36,753.75,0,-1297.11,1157.5,3067
01/05/2024 03:15,3297.05,450,2200,0,-786.3,2384.9,3028,3417.7,1792.36,753.75,0,-1297.11,1157.5,3067
01/05/2024 03:30,3297.05,450,2200,0,-786.3,2384.9,3028,3417.7,1792.36,753.75,0,-1297.11,1157.5,3067
01/05/2024 03:45,3297.05,450,2200,0,-786.3,2384.9,3028,3417.7,1792.36,753.75,0,-1297.11,1157.5,3067
01/05/2024 04:00,3159.2,227,2200,0,-120.4,2384.9,2928,3641.08,1680.27,491.75,0,-269.68,1269,2977.25
01/05/2024 04:15,3159.2,227,2200,0,-120.4,2384.9,2928,3641.08,1680.27,491.75,0,-269.68,1269,2977.25
01/05/2024 04:30,3159.2,227,2200,0,-120.4,2384.9,2928,3641.08,1680.27,491.75,0,-269.68,1269,2977.25
01/05/2024 04:45,3159.2,227,2200,0,-120.4,2384.9,2928,3641.08,1680.27,491.75,0,-269.68,1269,2977.25
01/05/2024 05:00,3219.35,214,2200,0,-595.7,2384.9,2980,3865.33,1675.88,571.25,0,-482.02,1565.25,3008.75
01/05/2024 05:15,3219.35,214,2200,0,-595.7,2384.9,2980,3865.33,1675.88,571.25,0,-482.02,1565.25,3008.75
01/05/2024 05:30,3219.35,214,2200,0,-595.7,2384.9,2980,3865.33,1675.88,571.25,0,-482.02,1565.25,3008.75
01/05/2024 05:45,3219.35,214,2200,0,-595.7,2384.9,2980,3865.33,1675.88,571.25,0,-482.02,1565.25,3008.75
01/05/2024 06:00,3568.85,236,2200,0,-1459.8,2384.9,3006,3971.29,1513.41,713.25,0,-1013.85,2008.25,3039
01/05/2024 06:15,3568.85,236,2200,0,-1459.8,2384.9,3006,3971.29,1513.41,713.25,0,-1013.85,2008.25,3039
01/05/2024 06:30,3568.85,236,2200,0,-1459.8,2384.9,3006,3971.29,1513.41,713.25,0,-1013.85,2008.25,3039
01/05/2024 06:45,3568.85,236,2200,0,-1459.8,2384.9,3006,3971.29,1513.41,713.25,0,-1013.85,2008.25,3039
01/05/2024 07:00,3377.6,236,2200,0,-1689.2,2384.9,3028,4176.25,1565.95,869.75,0,-1485.17,2240.25,3064
01/05/2024 07:15,3377.6,236,2200,0,-1689.2,2384.9,3028,4176.25,1565.95,869.75,0,-1485.17,2240.25,3064
01/05/2024 07:30,3377.6,236,2200,0,-1689.2,2384.9,3028,4176.25,1565.95,869.75,0,-1485.17,2240.25,3064
01/05/2024 07:45,3377.6,236,2200,0,-1689.2,2384.9,3028,4176.25,1565.95,869.75,0,-1485.17,2240.25,3064
01/05/2024 08:00,2656.7000000000003,403,994,0,-2498.8,2347,3028,3411.56,898.83,606.25,0,-2062.03,1622.25,3068.5
01/05/2024 08:15,2656.7000000000003,403,994,0,-2498.8,2347,3028,3411.56,898.83,606.25,0,-2062.03,1622.25,3068.5
01/05/2024 08:30,2656.7000000000003,403,994,0,-2498.8,2347,3028,3411.56,898.83,606.25,0,-2062.03,1622.25,3068.5
01/05/2024 08:45,2656.7000000000003,403,994,0,-2498.8,2347,3028,3411.56,898.83,606.25,0,-2062.03,1622.25,3068.5
01/05/2024 09:00,367.9,713.9000000000001,574,0,-3191,1791.6,3028,1292.41,211.45,564,0,-2768.61,1336.75,3067
