datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 00:00 - 01/01/2024 00:15,-1513,-835,2235,0,2636,2214.2,1447,-975.33,1192.74,1021,0,2658.79,1809,1821
01/01/2024 00:15 - 01/01/2024 00:30,-1513,-835,2235,0,2636,2214.2,1447,-975.33,1192.74,1021,0,2658.79,1809,1821
01/01/2024 00:30 - 01/01/2024 00:45,-1513,-835,2235,0,2636,2214.2,1447,-975.33,1192.74,1021,0,2658.79,1809,1821
01/01/2024 00:45 - 01/01/2024 01:00,-1513,-835,2235,0,2636,2214.2,1447,-975.33,1192.74,1021,0,2658.79,1809,1821
01/01/2024 01:00 - 01/01/2024 01:15,-1488.25,-90.2,2102,0,2636,2280.1,1431,-892.9,1409.74,1282,0,2502.66,1846,1457
01/01/2024 01:15 - 01/01/2024 01:30,-1488.25,-90.2,2102,0,2636,2280.1,1431,-892.9,1409.74,1282,0,2502.66,1846,1457
01/01/2024 01:30 - 01/01/2024 01:45,-1488.25,-90.2,2102,0,2636,2280.1,1431,-892.9,1409.74,1282,0,2502.66,1846,1457
01/01/2024 01:45 - 01/01/2024 02:00,-1488.25,-90.2,2102,0,2636,2280.1,1431,-892.9,1409.74,1282,0,2502.66,1846,1457
01/01/2024 02:00 - 01/01/2024 02:15,-1926,-732,2495,0,2636,2141.8,1878,-1508.3,1081.33,1282,0,2547.92,1846,1456
01/01/2024 02:15 - 01/01/2024 02:30,-1926,-732,2495,0,2636,2141.8,1878,-1508.3,1081.33,1282,0,2547.92,1846,1456
01/01/2024 02:30 - 01/01/2024 02:45,-1926,-732,2495,0,2636,2141.8,1878,-1508.3,1081.33,1282,0,2547.92,1846,1456
